year,Sector_Name,sector,value,Main.Sector
2018,"Tekstil, pakaian dan produk kulit",p3.2,5926,Manufacturing
2018,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15809,Manufacturing
2018,"Produk petroleum, kimia, getah dan plastik",p3.4,88418,Manufacturing
2018,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,36224,Manufacturing
2018,"Produk elektrik, elektronik dan optikal",p3.6,86317,Manufacturing
2018,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,33859,Manufacturing
2018,Construction,p4,66194,Construction
2018,Buildings,p4.1,31160,Construction
2018,Civil engineering,p4.2,23354,Construction
2018,Specialised construction activities,p4.3,11681,Construction
2018,Services,p5,772990,Services
2018,"Utilities, transportation & storage and information & communication",p5.1,165427,Services
2018,"Wholesale and retail trade, food & beverage and accommodation",p5.2,272668,Services
2018,"Finance and insurance, real estate and business services",p5.3,152834,Services
2018,Other services,p5.4,67170,Services
2018,Government services,p5.5,114891,Services
2018,Import duties,p6,16546,Import duties
2019,Agriculture,p1,101573,Agriculture
2019,Crops,p1.1,67610,Agriculture
2019,Livestock,p1.2,15459,Agriculture
2019,Forestry and logging,p1.3,6382,Agriculture
2019,Fishing,p1.4,12122,Agriculture
2019,Mining and quarrying,p2,102887,Mining and quarrying
2019,Crude oil and condensate,p2.1,42460,Mining and quarrying
2019,Natural gas ,p2.2,50643,Mining and quarrying
2019,Other mining & quarrying and supporting services,p2.3,9784,Mining and quarrying
2019,Manufacturing,p3,316283,Manufacturing
2019,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,39629,Manufacturing
2019,"Tekstil, pakaian dan produk kulit",p3.2,6252,Manufacturing
2019,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,16545,Manufacturing
2019,"Produk petroleum, kimia, getah dan plastik",p3.4,90982,Manufacturing
2019,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,37716,Manufacturing
2019,"Produk elektrik, elektronik dan optikal",p3.6,89133,Manufacturing
2019,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,36027,Manufacturing
2019,Construction,p4,66453,Construction
2019,Buildings,p4.1,29540,Construction
2019,Civil engineering,p4.2,24823,Construction
2019,Specialised construction activities,p4.3,12089,Construction
2019,Services,p5,820576,Services
2019,"Utilities, transportation & storage and information & communication",p5.1,176184,Services
2019,"Wholesale and retail trade, food & beverage and accommodation",p5.2,292526,Services
2019,"Finance and insurance, real estate and business services",p5.3,162121,Services
2019,Other services,p5.4,70943,Services
2019,Government services,p5.5,118804,Services
2019,Import duties,p6,16179,Import duties
2020,Agriculture,p1,99109,Agriculture
2020,Crops,p1.1,66681,Agriculture
2020,Livestock,p1.2,16002,Agriculture
2020,Forestry and logging,p1.3,5140,Agriculture
2020,Fishing,p1.4,11286,Agriculture
2020,Mining and quarrying,p2,92879,Mining and quarrying
2020,Crude oil and condensate,p2.1,38430,Mining and quarrying
2020,Natural gas ,p2.2,45896,Mining and quarrying
2020,Other mining & quarrying and supporting services,p2.3,8554,Mining and quarrying
2020,Manufacturing,p3,307606,Manufacturing
2020,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,38590,Manufacturing
2020,"Tekstil, pakaian dan produk kulit",p3.2,5444,Manufacturing
2020,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15289,Manufacturing
2020,"Produk petroleum, kimia, getah dan plastik",p3.4,90084,Manufacturing
2020,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,32797,Manufacturing
2020,"Produk elektrik, elektronik dan optikal",p3.6,91362,Manufacturing
2020,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,34040,Manufacturing
2020,Construction,p4,53616,Construction
2020,Buildings,p4.1,24764,Construction
2020,Civil engineering,p4.2,17836,Construction
2020,Specialised construction activities,p4.3,11015,Construction
2020,Services,p5,777693,Services
2020,"Utilities, transportation & storage and information & communication",p5.1,169232,Services
2020,"Wholesale and retail trade, food & beverage and accommodation",p5.2,265100,Services
2020,"Finance and insurance, real estate and business services",p5.3,154867,Services
2020,Other services,p5.4,63796,Services
2020,Government services,p5.5,124699,Services
2020,Import duties,p6,15346,Import duties
2021,Agriculture,p1,98843,Agriculture
2021,Crops,p1.1,65857,Agriculture
2021,Livestock,p1.2,16495,Agriculture
2021,Forestry and logging,p1.3,5241,Agriculture
2021,Fishing,p1.4,11250,Agriculture
2021,Mining and quarrying,p2,93717,Mining and quarrying
2021,Crude oil and condensate,p2.1,36410,Mining and quarrying
2021,Natural gas ,p2.2,49166,Mining and quarrying
2021,Other mining & quarrying and supporting services,p2.3,8142,Mining and quarrying
2021,Manufacturing,p3,336724,Manufacturing
