Entity,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,BDI,798536060.0,688768200.0,751192300.0,782257200.0,831328500.0,864309200.0,904179700.0,1029151040.0,1026085400.0,1011109250.0,1226735100.0,1260431400.0,1179713800.0,1260984800.0,1251819500.0,1260556300.0,1360678000.0,1516740200.0,1502474200.0,1527489700.0,1542628000.0,1730262000.0,1712032000.0,1775639700.0,1778401500.0,1987953800.0,2052565900.0,2165520600.0,2274468400.0,2305162500.0,2385839000.0,2505055500.0,2530356500.0,2372462300.0,2281597000.0,2100894500.0,1932822900.0,1902091000.0,1992440300.0,1972316700.0,1955416600.0,1995616300.0,2084351600.0,2058844900.0,2158362400.0,2177787600.0,2295689000.0,2374934800.0,2490397400.0,2585350000.0,2717827600.0,2827426600.0,2953154000.0,3098572800.0,3229972500.0,3104003600.0,3085379600.0,3100806400.0,3150727400.0,3207836400.0,3218331100.0,3318099200.0,3379451000.0
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775009300.0,3764807000.0,4137653500.0,4381672000.0,4557229000.0,4770581500.0,5376702000.0,5914027000.0,6395925000.0,6816709000.0,7396531000.0,8161371600.0,9242760000.0,10238306000.0,11283900000.0,12038971000.0,12049409000.0,12767924000.0,13670562000.0,14670337000.0,15749585000.0,16874510000.0,18049954000.0,19301415000.0,20651915000.0,22194442000.0,23760062000.0,23024450000.0,23721260000.0,24964207000.0
Cameroon,CMR,4827329500.0,4884470000.0,5033033700.0,5221397500.0,5406609000.0,5516150000.0,5770717000.0,5141013000.0,5467278300.0,5735255600.0,5912594000.0,6118335000.0,6281929000.0,6618369500.0,7328803000.0,8152931000.0,7704916000.0,8763562000.0,10691808000.0,11337072000.0,11114266000.0,13012880000.0,13990954000.0,14951689000.0,16069264000.0,17364955000.0,18540851000.0,18142845000.0,16723415000.0,16419196000.0,15416690000.0,14829529000.0,14369814000.0,13229990000.0,13478291000.0,13868354000.0,14452915000.0,15107244000.0,15821142000.0,16534881000.0,17168567000.0,17910980000.0,18712860000.0,19733301000.0,21124274000.0,21594980000.0,22417660000.0,23387804000.0,24053813000.0,24674222000.0,25389533000.0,26247500000.0,27461704000.0,28833560000.0,30482788000.0,32210233000.0,33671223000.0,34863580000.0,36242612000.0,37502067000.0,37599547000.0,38854943000.0,40247034000.0
Canada,CAN,254847000000.0,262909000000.0,282431000000.0,297539000000.0,317305000000.0,337348000000.0,359967000000.0,371094000000.0,389633000000.0,409292000000.0,456950000000.0,475314000000.0,501550000000.0,535297000000.0,553272000000.0,561822000000.0,594909000000.0,615938000000.0,638949000000.0,662752000000.0,677181000000.0,700307000000.0,678134000000.0,695510000000.0,736535000000.0,771430000000.0,787795000000.0,819875000000.0,856038000000.0,876046000000.0,877824000000.0,859468000000.0,867122000000.0,890167000000.0,930172000000.0,955122000000.0,971254000000.0,1012830000000.0,1052250000000.0,1106350000000.0,1163200000000.0,1185010000000.0,1220550000000.0,1242600000000.0,1281030000000.0,1322150000000.0,1357030000000.0,1384850000000.0,1398630000000.0,1357860000000.0,1399830000000.0,1443750000000.0,1469090000000.0,1503260000000.0,1546460000000.0,1556510000000.0,1572670000000.0,1620390000000.0,1664830000000.0,1696610000000.0,1611130000000.0,1696310000000.0,1761100000000.0
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,188082000.0,203977860.0,209740300.0,229709150.0,238399660.0,259002370.0,266439500.0,277920540.0,294587040.0,311372480.0,313527700.0,317930080.0,352704160.0,383418750.0,456968580.0,521911300.0,581130100.0,645742600.0,726572000.0,808112700.0,923550500.0,944160960.0,993737860.0,1035238900.0,1140803000.0,1219660500.0,1317035100.0,1516838400.0,1623608800.0,1599196500.0,1628564500.0,1692481000.0,1710821600.0,1721636400.0,1733630300.0,1749857700.0,1824764000.0,1907814800.0,1978536800.0,2116002000.0,1675762000.0,1769857400.0,2072800300.0
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4633486000.0,4780025300.0,4762941400.0,4419987000.0,4299956000.0,4350225400.0,4403722000.0,4460060700.0,4578454000.0,4708167000.0,4860710400.0,5015478000.0,5229502000.0,5434270000.0,5156680000.0,5364425700.0,5561542000.0
Central African Rep.,CAF,980371500.0,1028934700.0,990722200.0,983717600.0,1004182140.0,1013697600.0,1020233700.0,1067946100.0,1082941300.0,1159738500.0,1186793900.0,1200207000.0,1200196600.0,1222867600.0,1300385700.0,1305652000.0,1376581800.0,1428977800.0,1446257400.0,1410605200.0,1347429200.0,1326618800.0,1428977800.0,1312851700.0,1437332700.0,1493779800.0,1547227000.0,1470809600.0,1495962900.0,1525542100.0,1492780700.0,1484532500.0,1389164900.0,1393822500.0,1462119000.0,1567392300.0,1504695200.0,1584443000.0,1658914200.0,1718634600.0,1675850400.0,1750672800.0,1813986600.0,1716076900.0,1818953700.0,1835473700.0,1923045600.0,2011650700.0,2052972500.0,2229266700.0,2332500000.0,2430339300.0,2553163000.0,1624016500.0,1625333000.0,1695825700.0,1776382800.0,1856804600.0,1927167100.0,1986909300.0,2004791600.0,2024497000.0,2034662300.0
Chad,TCD,1696963300.0,1720682500.0,1812913200.0,1783916400.0,1739123300.0,1749666400.0,1718048300.0,1731229200.0,1723313700.0,1841900300.0,1876153200.0,1833984400.0,1855068200.0,1699597000.0,1783928600.0,1944665200.0,2002631200.0,2047382500.0,2037767300.0,1600847700.0,1504033800.0,1519719700.0,1600973000.0,1851985200.0,1889930500.0,2301798700.0,2207847000.0,2155105800.0,2488767000.0,2610336500.0,2501264400.0,2714750700.0,2931970000.0,2471362300.0,2721881600.0,2755539000.0,2816559600.0,2975790800.0,3182655200.0,3160922400.0,3133116400.0,3498379300.0,3795434000.0,4354185000.0,5818470400.0,6826959000.0,6871215000.0,7096007000.0,7312626000.0,7621050400.0,8653710000.0,8660881000.0,9430191000.0,9967712000.0,10655483000.0,10950392000.0,10265387000.0,9958586000.0,10195006000.0,10526057000.0,10357639000.0,10233349000.0,10462165000.0
Chile,CHL,26775250000.0,28179685000.0,29314392000.0,31026393000.0,31819807000.0,32122182000.0,35731510000.0,37023560000.0,38353450000.0,39863804000.0,40592900000.0,44417840000.0,43964800000.0,41753702000.0,42748340000.0,37228630000.0,38655447000.0,42692887000.0,45980713000.0,49851507000.0,53832960000.0,57345757000.0,51029520000.0,48469156000.0,50458178000.0,52481507000.0,55303803000.0,58876686000.0,63201243000.0,69472944000.0,71788870000.0,77391560000.0,86033646000.0,91702215000.0,96315020000.0,104919000000.0,112057000000.0,120340000000.0,125371000000.0,125028000000.0,131244000000.0,135383000000.0,139719000000.0,146319000000.0,156084000000.0,165195000000.0,175189000000.0,184243000000.0,191225000000.0,189087000000.0,200152000000.0,212609000000.0,225696000000.0,233163000000.0,237343000000.0,242450000000.0,246701000000.0,250050000000.0,260027000000.0,261959000000.0,245861000000.0,274719000000.0,281423000000.0
China,CHN,158907000000.0,115573000000.0,109124000000.0,120364000000.0,142246000000.0,166357000000.0,184074000000.0,173453000000.0,166342000000.0,194520000000.0,232062000000.0,248446000000.0,257912000000.0,277925000000.0,284346000000.0,309140000000.0,304287000000.0,327322000000.0,364394000000.0,392056000000.0,422770000000.0,444386000000.0,484456000000.0,536633000000.0,618156000000.0,701179000000.0,763934000000.0,852989000000.0,948717000000.0,988623000000.0,1027380000000.0,1122540000000.0,1282220000000.0,1460240000000.0,1650610000000.0,1831420000000.0,2013140000000.0,2199090000000.0,2371630000000.0,2553330000000.0,2770110000000.0,3001020000000.0,3275120000000.0,3603880000000.0,3968370000000.0,4420540000000.0,4982880000000.0,5691990000000.0,6241300000000.0,6827910000000.0,7554110000000.0,8275590000000.0,8926360000000.0,9619600000000.0,10333900000000.0,11061600000000.0,11819200000000.0,12640300000000.0,13493400000000.0,14296400000000.0,14616400000000.0,15851300000000.0,16325100000000.0
Colombia,COL,30607352000.0,32165026000.0,33905762000.0,35020145000.0,37179820000.0,38518297000.0,40535396000.0,42211480000.0,44715938000.0,47444734000.0,50390008000.0,53393617000.0,57488454000.0,61353378000.0,64878590000.0,66385887000.0,69524860000.0,72416050000.0,78549620000.0,82774900000.0,86158205000.0,88119910000.0,88955660000.0,90355786000.0,93383320000.0,96284836000.0,101893000000.0,107363000000.0,111727000000.0,115541000000.0,120488000000.0,122900000000.0,127871000000.0,134758000000.0,142593000000.0,150012000000.0,153096000000.0,158347000000.0,159250000000.0,152555000000.0,157017000000.0,159651000000.0,163649000000.0,170061000000.0,179131000000.0,187780000000.0,200393000000.0,213896000000.0,220919000000.0,223437000000.0,233480000000.0,249702000000.0,259472000000.0,272793000000.0,285066000000.0,293492000000.0,299619000000.0,303692000000.0,311479000000.0,321406000000.0,298096000000.0,330935000000.0,354950000000.0
Comoros,COM,,,,,,,,,,,,,,,,,,,,,396529300.0,411854880.0,438144900.0,459269600.0,478146980.0,489048540.0,498182080.0,506341220.0,519948500.0,503412830.0,529042750.0,500497540.0,543194900.0,559523650.0,529998820.0,549132860.0,542039740.0,563884800.0,571116740.0,582107300.0,645253600.0,660306800.0,675658560.0,689873540.0,703116800.0,723068000.0,742207360.0,748145340.0,777806400.0,803013060.0,833349060.0,867878900.0,895376830.0,935366600.0,955071550.0,966029600.0,998106100.0,1036191500.0,1073934200.0,1092843900.0,1090706700.0,1113744500.0,1140337200.0
Congo,COG,1260532900.0,1365796600.0,1436849500.0,1378954500.0,1431586400.0,1484218200.0,1504388500.0,1536225400.0,1653459800.0,1778271600.0,1891342500.0,2037979000.0,2213602800.0,2395808800.0,2584730600.0,2784571600.0,2810086400.0,2558487300.0,2721200600.0,2988238000.0,3515262000.0,4134641200.0,5110321700.0,5409477600.0,5786850300.0,5718237700.0,5325879300.0,5335965000.0,5430212600.0,5571391500.0,5627105300.0,5761895400.0,5912392700.0,5854470000.0,5532880000.0,5753383000.0,6000231000.0,5962740700.0,6185601000.0,6025876500.0,6482395600.0,6728895500.0,7037205000.0,7094436000.0,7341083000.0,7910440000.0,8542186500.0,7977207000.0,8480279600.0,9467154000.0,10407363000.0,10636940000.0,11695013000.0,11611694000.0,12383414000.0,12434829000.0,11354834000.0,10719557000.0,10472544000.0,10590305000.0,9926529000.0,10027291000.0,10175229000.0
Costa Rica,CRI,4791476000.0,4881521000.0,5147193000.0,5502293500.0,5703625000.0,6170782000.0,6600844000.0,6973800000.0,7564711000.0,7980150000.0,8578911000.0,9160434000.0,9909578000.0,10673499000.0,11265333000.0,11501913000.0,12136539000.0,13217234000.0,14045649000.0,14739381000.0,14850206000.0,14514345000.0,13456893000.0,13842163000.0,14952872000.0,15060773000.0,15894575000.0,16651877000.0,17223393000.0,18199267000.0,18845899000.0,19272882000.0,21046200000.0,22539889000.0,23558472000.0,24537080000.0,24868444000.0,26230280000.0,28107140000.0,29291800000.0,30425018000.0,31487207000.0,32563087000.0,33968894000.0,35471880000.0,36882480000.0,39584748000.0,42836685000.0,44866363000.0,44474474000.0,46858460000.0,48921710000.0,51310360000.0,52590432000.0,54453244000.0,56441920000.0,58814923000.0,61260268000.0,62862780000.0,64382493000.0,61631200000.0,66522108000.0,69549860000.0
Cote d'Ivoire,CIV,5492745700.0,6038316000.0,6112405500.0,6998115000.0,8230699000.0,7974753000.0,8898018000.0,9307164000.0,10475049000.0,11474287000.0,12664748000.0,13862407000.0,14449705000.0,15307902000.0,15970334000.0,17288348000.0,19521378000.0,20949262000.0,23234712000.0,23791045000.0,21184094000.0,21925644000.0,21969674000.0,21112805000.0,20542493000.0,21467156000.0,22166845000.0,22089490000.0,22340532000.0,22999132000.0,22747083000.0,22756393000.0,22700740000.0,22657044000.0,22840840000.0,24468419000.0,26359665000.0,28903066000.0,30135466000.0,30487103000.0,30406072000.0,29751122000.0,28938760000.0,27571153000.0,28449305000.0,28732678000.0,29541669000.0,29867049000.0,31295490000.0,32423168000.0,34643520000.0,32783010000.0,35281210000.0,39077544000.0,42739892000.0,45815005000.0,49101206000.0,52739977000.0,55294255000.0,58898490000.0,59921924000.0,64116457000.0,68438760000.0
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33753661000.0,35794833000.0,38003155000.0,38857077000.0,38524510000.0,39663400000.0,40901240000.0,43281930000.0,45705560000.0,47616030000.0,49667084000.0,52188602000.0,54837182000.0,55940317000.0,51902600000.0,51257410000.0,51214897000.0,50016514000.0,49818055000.0,49606017000.0,50857353000.0,52669040000.0,54459560000.0,55995500000.0,57899184000.0,52924820000.0,60220480000.0,64042740000.0
Cuba,CUB,,,,,,,,,,,23120654000.0,25105300000.0,26317054000.0,27220910000.0,27488897000.0,30093863000.0,31727346000.0,34490640000.0,36765643000.0,37165720000.0,35363390000.0,42325852000.0,46100570000.0,48595290000.0,52448756000.0,53286190000.0,53336977000.0,52055730000.0,53984674000.0,54351815000.0,52749218000.0,47108903000.0,41653408000.0,35456140000.0,35710333000.0,36587810000.0,39455840000.0,40554060000.0,40618600000.0,43132387000.0,45683565000.0,47138600000.0,47810240000.0,49623556000.0,52487102000.0,58366530000.0,65408954000.0,70159040000.0,73047370000.0,74107510000.0,75878940000.0,78005300000.0,80357080000.0,82564970000.0,83429900000.0,87132800000.0,87579660000.0,89164660000.0,91169040000.0,91020350000.0,81054460000.0,82070634000.0,83527270000.0
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2881155300.0,2861109500.0,2872470000.0,2880748000.0,2886753300.0,2906280000.0,2953824800.0,3026783200.0,3093010400.0,3076577000.0,3079109400.0,3094765300.0,3083966200.0,3064361500.0,3044829200.0,3058779100.0,3026120400.0,2987500800.0,2924640500.0,2830872600.0,2320226800.0,2417298400.0,2608023300.0
Cyprus,CYP,,,,,,,,,,,,,,,,3097506800.0,3725256400.0,4334783000.0,4671916500.0,5134696400.0,5430108000.0,5566784000.0,5901999600.0,6231460000.0,6777204000.0,7108104000.0,7371385000.0,7892191700.0,8574612000.0,9256073000.0,9941392000.0,10014909000.0,10956311000.0,11033005000.0,11683952000.0,12661019000.0,12819102000.0,13157641000.0,13961684000.0,14659484000.0,15533967000.0,16147957000.0,16749138000.0,17188516000.0,18052470000.0,18928558000.0,19820816000.0,20831295000.0,21590974000.0,21155858000.0,21582086000.0,21668725000.0,20921842000.0,19550816000.0,19193172000.0,19842492000.0,21123236000.0,22359482000.0,23632374000.0,25012476000.0,24164338000.0,26559340000.0,27902747000.0
Czechia,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120142000000.0,106188000000.0,105650000000.0,105715000000.0,108791000000.0,115863000000.0,120805000000.0,120179000000.0,119750000000.0,121408000000.0,126265000000.0,130108000000.0,132150000000.0,136886000000.0,143476000000.0,152948000000.0,163298000000.0,172394000000.0,177025000000.0,168780000000.0,172890000000.0,175934000000.0,174553000000.0,174472000000.0,178419000000.0,188033000000.0,192804000000.0,202770000000.0,209299000000.0,215640000000.0,203774000000.0,211014000000.0,215975000000.0
Dem. Rep. Congo,COD,19168014000.0,17088022000.0,20710801000.0,21790660000.0,21258920000.0,21470945000.0,22925707000.0,22699719000.0,23683230000.0,25892600000.0,25829149000.0,27380193000.0,27421573000.0,29652943000.0,30581254000.0,29057808000.0,27515130000.0,27724462000.0,26242509000.0,26355374000.0,26933852000.0,27566938000.0,27440771000.0,27828154000.0,29370132000.0,29507540000.0,30899472000.0,31726234000.0,31875467000.0,31471907000.0,29404735000.0,26928548000.0,24101046000.0,20854866000.0,20041525000.0,20181817000.0,19975322000.0,18853298000.0,18547091000.0,17755105000.0,16528062000.0,16180945000.0,16657921000.0,17587070000.0,18772152000.0,19923853000.0,20983996000.0,22297485000.0,23685704000.0,24361945000.0,26093586000.0,27887434000.0,29863789000.0,32396823000.0,35464897000.0,37917710000.0,38827504000.0,40274584000.0,42619015000.0,44487660000.0,45259710000.0,48065880000.0,52355494000.0
Denmark,DNK,82924590000.0,88214220000.0,93213155000.0,93806944000.0,102503000000.0,107172000000.0,110110000000.0,116199000000.0,122652000000.0,130635000000.0,132721000000.0,136710000000.0,142081000000.0,147897000000.0,146237000000.0,144107000000.0,152644000000.0,155499000000.0,158961000000.0,165112000000.0,164314000000.0,163220000000.0,169234000000.0,173627000000.0,180861000000.0,188102000000.0,197327000000.0,197828000000.0,197801000000.0,199078000000.0,202014000000.0,204830000000.0,208838000000.0,208861000000.0,219998000000.0,226659000000.0,233232000000.0,240837000000.0,246180000000.0,253437000000.0,262933000000.0,265097000000.0,266334000000.0,267372000000.0,274507000000.0,280921000000.0,291913000000.0,294567000000.0,293059000000.0,278680000000.0,283894000000.0,287689000000.0,288341000000.0,291032000000.0,295745000000.0,302673000000.0,312498000000.0,321316000000.0,327708000000.0,332603000000.0,324539000000.0,346752000000.0,356222000000.0
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105985500.0,2254700500.0,2424391700.0,2597091600.0,2738843400.0,2869607200.0,3028730600.0,3068599800.0,3207372500.0,3307565300.0
Dominica,DMA,,,,,,,,,,,,,,,,,,211483620.0,233765000.0,190847410.0,216388860.0,239822340.0,249721440.0,256105120.0,266852940.0,270644740.0,289788400.0,308067000.0,332147420.0,331512580.0,349473900.0,354183970.0,361371840.0,369182600.0,369309900.0,380503170.0,392314750.0,400889280.0,416019780.0,417492800.0,427263040.0,426990270.0,414914980.0,441275100.0,454737020.0,457719500.0,479046720.0,509480420.0,545760830.0,539377660.0,543005700.0,541791800.0,536054240.0,530694000.0,555922050.0,540737000.0,555681100.0,518900600.0,537309060.0,566874400.0,472749950.0,505325000.0,533867400.0
Dominican Rep.,DOM,4530918000.0,4426106400.0,5180635600.0,5517527600.0,5890780700.0,5155503000.0,5849606000.0,6044254700.0,6058691600.0,6718571000.0,7943143400.0,8806680000.0,9722061000.0,10975794000.0,11634551000.0,12238763000.0,13062201000.0,13712932000.0,14006483000.0,14641172000.0,15807889000.0,16484446000.0,16764468000.0,17540320000.0,17760082000.0,17383117000.0,17995350000.0,19816006000.0,20243230000.0,21134043000.0,19981326000.0,20169978000.0,22433237000.0,24085336000.0,24711640000.0,26116602000.0,27677807000.0,30137055000.0,32160600000.0,34070956000.0,35659264000.0,36536308000.0,38178652000.0,37664883000.0,38632920000.0,42275324000.0,46153810000.0,49576554000.0,51167715000.0,51651842000.0,55959425000.0,57712870000.0,59281140000.0,62171218000.0,66554577000.0,71164830000.0,75903840000.0,79446040000.0,84993384000.0,89287390000.0,83287065000.0,93508050000.0,98050970000.0
East Asia and Pacific (WB),,1160050000000.0,1203770000000.0,1269960000000.0,1369230000000.0,1513500000000.0,1619650000000.0,1759980000000.0,1895530000000.0,2076750000000.0,2315520000000.0,2440330000000.0,2570060000000.0,2755500000000.0,2966610000000.0,2992740000000.0,3103640000000.0,3235820000000.0,3411320000000.0,3609160000000.0,3822630000000.0,3967460000000.0,4152860000000.0,4325310000000.0,4516850000000.0,4795160000000.0,5068480000000.0,5317950000000.0,5650670000000.0,6080100000000.0,6394000000000.0,6718220000000.0,7044230000000.0,7343060000000.0,7651400000000.0,8052200000000.0,8508660000000.0,8986910000000.0,9351290000000.0,9393490000000.0,9744910000000.0,10270500000000.0,10609400000000.0,11073800000000.0,11621700000000.0,12303600000000.0,13029400000000.0,13870400000000.0,14906000000000.0,15559700000000.0,15958100000000.0,17172500000000.0,18110400000000.0,19049000000000.0,20048200000000.0,21002200000000.0,21995300000000.0,23020300000000.0,24183900000000.0,25335100000000.0,26338500000000.0,26299700000000.0,27933300000000.0,28738000000000.0
East Timor,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832683800.0,968839040.0,903891460.0,884166140.0,887702850.0,914197060.0,876567900.0,966550900.0,1076687500.0,1185938600.0,1296604500.0,1373863200.0,1440641500.0,1485364400.0,1551797200.0,1595205100.0,1648934400.0,1597082500.0,1586017900.0,1957336700.0,2582939100.0,2720236000.0,2161456400.0
Ecuador,ECU,11683345000.0,12282049000.0,12886221000.0,13157651000.0,14132271000.0,14595115000.0,14545561000.0,15217722000.0,15508295000.0,16232414000.0,17347895000.0,18439528000.0,19364758000.0,22066274000.0,24539574000.0,27232094000.0,29246503000.0,29715864000.0,31411696000.0,32584624000.0,33793085000.0,35689845000.0,35909284000.0,35788317000.0,36727857000.0,38173100000.0,39495713000.0,39393380000.0,41713830000.0,42133380000.0,43683852000.0,45558477000.0,46521725000.0,47439700000.0,49459802000.0,50573910000.0,51449720000.0,53676397000.0,55429750000.0,52802720000.0,53379220000.0,55522734000.0,57797374000.0,59371127000.0,64246104000.0,67645563000.0,70624354000.0,72171070000.0,76759080000.0,77193910000.0,79915230000.0,86203070000.0,91066620000.0,95571240000.0,99192310000.0,99290380000.0,98072700000.0,100395000000.0,101690000000.0,101702000000.0,93781975000.0,97753880000.0,100635000000.0
Egypt,EGY,20297834000.0,21345430000.0,22172697000.0,24504840000.0,27324754000.0,28667505000.0,30114183000.0,30356680000.0,29868913000.0,31445846000.0,33206348000.0,34553643000.0,35609494000.0,36858257000.0,37432857000.0,40779035000.0,46194360000.0,50353260000.0,54698127000.0,57185630000.0,62910670000.0,67533693000.0,74224370000.0,78005666000.0,85607910000.0,90565894000.0,94862820000.0,98498675000.0,103878000000.0,108990000000.0,115166000000.0,116462000000.0,121671000000.0,125201000000.0,130175000000.0,136219000000.0,143014000000.0,150869000000.0,159281000000.0,168923000000.0,179683000000.0,186035000000.0,190482000000.0,196565000000.0,204609000000.0,213758000000.0,228387000000.0,244575000000.0,262078000000.0,274326000000.0,288446000000.0,293536000000.0,300071000000.0,306629000000.0,315570000000.0,329367000000.0,343683000000.0,358053000000.0,377141000000.0,398081000000.0,412213000000.0,425778000000.0,453827000000.0
El Salvador,SLV,,,,,,8436981000.0,9041165000.0,9532719000.0,9841264000.0,10184273000.0,10487490000.0,10892123000.0,11558453000.0,12120388000.0,12767132000.0,13140383000.0,13803874000.0,14739786000.0,15524350000.0,14875391000.0,12519595000.0,11803351000.0,11058739000.0,11228936000.0,11378871000.0,11448774000.0,11471062000.0,11758775000.0,11979625000.0,12095116000.0,12679662000.0,12869107000.0,13772770000.0,14574114000.0,15257940000.0,15980263000.0,16109938000.0,16615462000.0,17056151000.0,17424910000.0,17621447000.0,17776447000.0,18056057000.0,18338705000.0,18501810000.0,18997813000.0,19821746000.0,20187974000.0,20622905000.0,20188015000.0,20622905000.0,21401127000.0,22019127000.0,22499795000.0,22888907000.0,23438240000.0,24033352000.0,24582685000.0,25177797000.0,25772909000.0,23758684000.0,26413797000.0,27100465000.0
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,132086050.0,139706660.0,142782540.0,149927940.0,151444270.0,170988430.0,167003440.0,174412940.0,179044060.0,176843300.0,173733390.0,171957420.0,231704590.0,257269040.0,300152800.0,352638300.0,587424900.0,1468403500.0,1817508700.0,2283954400.0,2699948800.0,4411173000.0,5269712400.0,6005114000.0,8286980600.0,9674942000.0,10420389000.0,12012844000.0,14151024000.0,14341122000.0,13061295000.0,13913404000.0,15070007000.0,14447135000.0,14507099000.0,13185497000.0,12023008000.0,11341604000.0,10634279000.0,10051327000.0,9569759000.0,9594971000.0,9957666000.0
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154926200.0,1310318700.0,1588386800.0,1633788900.0,1785058800.0,1926233500.0,1960377600.0,1960641900.0,1899038700.0,2065307900.0,2127379200.0,2070886400.0,2100950100.0,2155038000.0,2134151000.0,2164601600.0,1952838000.0,2028539800.0,2073049700.0,2252986400.0,,,,,,,,,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10254020000.0,10760877000.0,12165173000.0,12693120000.0,12639172000.0,13914165000.0,14749526000.0,15748271000.0,16945181000.0,18098133000.0,19822238000.0,21757995000.0,23407063000.0,22205813000.0,18957312000.0,19420680000.0,20831220000.0,21503693000.0,21817310000.0,22474310000.0,22890762000.0,23613096000.0,24980775000.0,25926099000.0,26895660000.0,26747464000.0,28890862000.0,28518918000.0
Eswatini,SWZ,,,,,,,,,,,419059500.0,476653500.0,502508580.0,547828200.0,579292600.0,659863230.0,645877800.0,652398600.0,661056800.0,681595400.0,766447550.0,878666560.0,888969540.0,899658100.0,955092800.0,991313900.0,1112893300.0,1275449100.0,1359243900.0,1534737300.0,1857308400.0,1890004000.0,1950979500.0,2011579000.0,2059870800.0,2159273000.0,2242233600.0,2311805700.0,2372006000.0,2442001000.0,2484984300.0,2511195100.0,2621187800.0,2722895600.0,2821571000.0,2990830800.0,3170046200.0,3310649900.0,3337852200.0,3390091300.0,3518702800.0,3597776400.0,3791935000.0,3938349800.0,3974709800.0,4063245600.0,4106422000.0,4189642000.0,4289359400.0,4404836400.0,4336136700.0,4799380500.0,4822247000.0
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,10919390000.0,11019414000.0,11926863000.0,11587183000.0,10295866000.0,11290613000.0,12855417000.0,12920166000.0,12873518000.0,13224508000.0,12280612000.0,11215578000.0,12689623000.0,13094417000.0,13896780000.0,15623618000.0,16113247000.0,15556028000.0,16359053000.0,17352575000.0,18793064000.0,19077728000.0,18665390000.0,21198770000.0,23704203000.0,26272487000.0,29282308000.0,32441436000.0,35297112000.0,39727088000.0,44167900000.0,47987460000.0,53065617000.0,58508820000.0,64589330000.0,70682350000.0,77442550000.0,82721145000.0,89640010000.0,95071770000.0,100435000000.0,105776000000.0
Europe and Central Asia (WB),,,,,,,,,,,,7682910000000.0,7965920000000.0,8343640000000.0,8845950000000.0,9038730000000.0,8990680000000.0,9413110000000.0,9681250000000.0,9993570000000.0,10369700000000.0,10509700000000.0,10560200000000.0,10660100000000.0,10869600000000.0,11157400000000.0,11469700000000.0,11785700000000.0,12148600000000.0,12664100000000.0,13112100000000.0,13418700000000.0,13477500000000.0,13407400000000.0,13307900000000.0,13471000000000.0,13758900000000.0,14004800000000.0,14435400000000.0,14814700000000.0,15241000000000.0,15905500000000.0,16264700000000.0,16522300000000.0,16818900000000.0,17355600000000.0,17819300000000.0,18508000000000.0,19183900000000.0,19378900000000.0,18515000000000.0,19007300000000.0,19453400000000.0,19523400000000.0,19688700000000.0,20068000000000.0,20481000000000.0,20869900000000.0,21476900000000.0,21935100000000.0,22330900000000.0,21106800000000.0,22483500000000.0,23185500000000.0
European Union (27),,,,,,,,,,,,5131670000000.0,5318180000000.0,5571310000000.0,5906100000000.0,6088930000000.0,6048620000000.0,6344530000000.0,6526900000000.0,6725980000000.0,6986420000000.0,7131400000000.0,7167910000000.0,7226150000000.0,7330850000000.0,7513850000000.0,7690640000000.0,7889510000000.0,8088350000000.0,8425020000000.0,8755120000000.0,9051250000000.0,9219510000000.0,9326450000000.0,9272940000000.0,9518880000000.0,9772350000000.0,9956200000000.0,10220400000000.0,10528100000000.0,10838500000000.0,11261300000000.0,11506300000000.0,11634100000000.0,11739800000000.0,12044100000000.0,12276000000000.0,12704900000000.0,13105900000000.0,13190000000000.0,12616400000000.0,12897000000000.0,13142200000000.0,13049900000000.0,13039100000000.0,13247800000000.0,13553700000000.0,13820900000000.0,14214100000000.0,14507800000000.0,14769700000000.0,13935000000000.0,14772700000000.0,15281700000000.0
