Entity,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,204553000000.0,209631000000.0,212344000000.0,225544000000.0,241288000000.0,255718000000.0,261801000000.0,278308000000.0,292484000000.0,313090000000.0,335557000000.0,348981000000.0,362627000000.0,372126000000.0,387410000000.0,392588000000.0,402751000000.0,417231000000.0,420958000000.0,438009000000.0,451305000000.0,466378000000.0,481886000000.0,471167000000.0,492802000000.0,518814000000.0,539389000000.0,553211000000.0,585042000000.0,607734000000.0,629486000000.0,627082000000.0,629764000000.0,655239000000.0,681315000000.0,707772000000.0,735120000000.0,763886000000.0,799508000000.0,839705000000.0,872634000000.0,890306000000.0,925737000000.0,954348000000.0,994663000000.0,1026040000000.0,1054310000000.0,1094090000000.0,1133330000000.0,1154780000000.0,1180490000000.0,1208920000000.0,1256290000000.0,1289040000000.0,1322650000000.0,1351770000000.0,1389340000000.0,1421550000000.0,1462870000000.0,1494770000000.0,1489770000000.0,1521230000000.0,1586170000000.0
Austria,AUT,84930960000.0,89634415000.0,92008540000.0,95816100000.0,101684000000.0,105223000000.0,111161000000.0,114504000000.0,119625000000.0,127133000000.0,135169000000.0,142083000000.0,150903000000.0,158283000000.0,164523000000.0,163924000000.0,171430000000.0,180138000000.0,179759000000.0,189388000000.0,192667000000.0,192389000000.0,196259000000.0,202094000000.0,202197000000.0,207249000000.0,212019000000.0,214896000000.0,221979000000.0,230608000000.0,240629000000.0,248911000000.0,254122000000.0,255460000000.0,261597000000.0,268576000000.0,274886000000.0,280641000000.0,290692000000.0,301030000000.0,311192000000.0,315136000000.0,320340000000.0,323356000000.0,332200000000.0,339655000000.0,351387000000.0,364485000000.0,369808000000.0,355886000000.0,362424000000.0,373017000000.0,375555000000.0,375651000000.0,378135000000.0,381971000000.0,389570000000.0,398369000000.0,408031000000.0,413950000000.0,386492000000.0,402871000000.0,422235000000.0
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240091000.0,20098410000.0,15556170000.0,11962695000.0,9606044000.0,8472531000.0,8582674000.0,9080468000.0,9988516000.0,10727666000.0,11918436000.0,13098362000.0,14334706000.0,15798035000.0,17259954000.0,22086103000.0,29705808000.0,37132260000.0,41127313000.0,44950655000.0,47220190000.0,47267410000.0,48290860000.0,51096465000.0,52501877000.0,53076234000.0,51430870000.0,51533734000.0,52306740000.0,53614408000.0,51308990000.0,54190730000.0,56692460000.0
Bahamas,BHS,2183847700.0,2416800800.0,2669404200.0,2950333700.0,3260164900.0,3600056600.0,3926651100.0,4303535600.0,4665969000.0,5085051000.0,4797763000.0,4875799000.0,4705276000.0,5061351400.0,4213361000.0,3589651700.0,3775781600.0,4121452000.0,4705854000.0,5935931000.0,6321486300.0,5738240500.0,6122639400.0,6342874000.0,7241732000.0,7591448600.0,7727867000.0,7958506500.0,8142324700.0,8690086000.0,8551370000.0,8193770500.0,7880311000.0,7904567000.0,8153475000.0,8510496000.0,8869939000.0,8984162000.0,9407926000.0,10080039000.0,10498202000.0,10773885000.0,11065313000.0,10925347000.0,11021749000.0,11396057000.0,11682850000.0,11851795000.0,11576401000.0,11093037000.0,11263721000.0,11332787000.0,11682560000.0,11348145000.0,11557758000.0,11672900000.0,11583839000.0,11876233000.0,12222818000.0,12131922000.0,9279938000.0,10856088000.0,12415913000.0
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,7719990000.0,7309541000.0,6757216000.0,7188081700.0,7547748000.0,7188606000.0,7273646600.0,8030034000.0,8592135000.0,8623411000.0,9006118000.0,10017505000.0,10687676000.0,12063181000.0,12033023000.0,12505920000.0,13019913000.0,13422620000.0,14065564000.0,14670382000.0,15447923000.0,15832722000.0,16362889000.0,17393168000.0,18607380000.0,19866913000.0,21151705000.0,22906020000.0,24336503000.0,24954622000.0,26036230000.0,26552664000.0,27542575000.0,29034512000.0,30297627000.0,31050637000.0,32155460000.0,33535234000.0,34243207000.0,34985247000.0,33360308000.0,34250930000.0,35915820000.0
Bangladesh,BGD,22247400000.0,23595184000.0,24881836000.0,24768401000.0,27481231000.0,27922651000.0,28639373000.0,28102138000.0,30768878000.0,31144522000.0,32894798000.0,31092333000.0,26747574000.0,27637113000.0,30288052000.0,29049813000.0,30694427000.0,31514907000.0,33744220000.0,35364495000.0,35654180000.0,38233383000.0,39049410000.0,40564933000.0,42513396000.0,43934200000.0,45767740000.0,47494283000.0,48641868000.0,50021634000.0,52833980000.0,54675360000.0,57651170000.0,60367440000.0,62715810000.0,65927664000.0,68909515000.0,72003486000.0,75731124000.0,79267890000.0,83463770000.0,87701460000.0,91063170000.0,95379170000.0,100377000000.0,106937000000.0,114072000000.0,122124000000.0,129468000000.0,136000000000.0,143578000000.0,152859000000.0,162828000000.0,172619000000.0,183082000000.0,195079000000.0,208955000000.0,222726000000.0,239028000000.0,257868000000.0,266760000000.0,285269000000.0,305523000000.0
Barbados,BRB,,,,,,,,,,,,,,,2851673900.0,2797492000.0,2919468500.0,3025801700.0,3173368000.0,3423842300.0,3573569300.0,3505680100.0,3333869000.0,3350580200.0,3471213600.0,3509335800.0,3688458200.0,3784024800.0,3916669400.0,4057669600.0,3923458300.0,3770447000.0,3555813600.0,3584013600.0,3656080400.0,3729713700.0,3878025000.0,4061847300.0,4213291800.0,4227391700.0,4415392000.0,4310947300.0,4344892000.0,4439414300.0,4502081000.0,4680158700.0,4963099000.0,5066290000.0,5099347000.0,4842570000.0,4732538000.0,4697131000.0,4682770000.0,4621931000.0,4621879000.0,4734000000.0,4854007000.0,4876462000.0,4833953300.0,4846695400.0,4229324000.0,4196215300.0,4671803400.0
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452716000.0,29099284000.0,26305753000.0,24306516000.0,21462653000.0,19230536000.0,19768992000.0,22022658000.0,23872560000.0,24684227000.0,26115912000.0,27349969000.0,28729848000.0,30753348000.0,34274527000.0,37496332000.0,41245962000.0,44793120000.0,49362020000.0,49460740000.0,53317820000.0,56185630000.0,57133556000.0,57706877000.0,58703016000.0,56454890000.0,55028933000.0,56422060000.0,58199150000.0,59040830000.0,58643540000.0,60073780000.0,57251844000.0
Belgium,BEL,107410000000.0,112757000000.0,118634000000.0,123797000000.0,132409000000.0,137123000000.0,141451000000.0,146922000000.0,153084000000.0,163234000000.0,172347000000.0,179216000000.0,188707000000.0,200749000000.0,209914000000.0,205787000000.0,217420000000.0,218781000000.0,224999000000.0,230266000000.0,240499000000.0,239828000000.0,241255000000.0,242007000000.0,247976000000.0,252072000000.0,256667000000.0,262587000000.0,274990000000.0,284529000000.0,293456000000.0,298835000000.0,303410000000.0,300491000000.0,310188000000.0,317585000000.0,321782000000.0,333989000000.0,340541000000.0,352606000000.0,365711000000.0,369733000000.0,376044000000.0,379947000000.0,393516000000.0,402652000000.0,412929000000.0,428112000000.0,430025000000.0,421336000000.0,433404000000.0,440748000000.0,444006000000.0,446045000000.0,453086000000.0,462336000000.0,468192000000.0,475775000000.0,484305000000.0,495158000000.0,469108000000.0,501247000000.0,516334000000.0
Belize,BLZ,142478200.0,149448640.0,156760640.0,164530380.0,172756700.0,181274540.0,189922880.0,199254020.0,213933520.0,224857760.0,235668240.0,244999380.0,270034140.0,284486100.0,323062370.0,334669440.0,334555600.0,356290300.0,384511360.0,413415170.0,468964450.0,474281440.0,473770600.0,463616830.0,472759650.0,477546400.0,499224420.0,552817660.0,606925900.0,685882200.0,750867140.0,839309600.0,946205900.0,1004282940.0,1004082240.0,1011427650.0,1022607040.0,1065910500.0,1107406600.0,1211759700.0,1360086500.0,1428003300.0,1505102200.0,1650573800.0,1729482200.0,1767862700.0,1847619000.0,1908535400.0,1879170800.0,1870701600.0,1893897300.0,1888250100.0,1957390300.0,2044252300.0,2126131100.0,2194709200.0,2194467000.0,2154673400.0,2177418200.0,2269658600.0,1957996200.0,2307742200.0,2509307600.0
